ssp,year,aal_baseline_usd,aal_intervention_usd,aal_fatalities_baseline,benefits_usd_yr,benefits_direct_usd_yr,costs_usd_yr,cum_disc_benefits,cum_disc_costs,aal_ratio_baseline,aal_pct_gdp_baseline,lives_saved_yr,dalys_averted_yr,jobs_preserved_yr
SSP1,2025,419581280.713386,419581280.098529,757.085348,1306253.663973,0.614858,1900003.666212,5938164.502301,8637322.624326,0.000616,0.000998,1e-06,6.9e-05,1.5e-05
SSP1,2030,433582139.264504,420446586.020009,772.234292,98109471.603917,13135553.244495,66975385.372789,355391463.057595,247195016.982539,0.000571,0.000916,28.208853,1419.272013,325.439438
SSP1,2035,450792022.689163,423796554.954858,792.505493,126054755.355592,26995467.734305,69139361.193318,707187502.678955,440150478.13231,0.000534,0.000807,57.441939,2890.076291,668.825263
SSP1,2040,487432035.226898,439966439.324342,842.721412,197417282.492146,47465595.902556,99896242.255233,1138875910.082063,658591585.113063,0.000495,0.000718,99.689353,5015.670442,1175.982205
SSP1,2045,521947487.542058,456179073.787856,891.978206,218817789.726425,65768413.754203,88922050.763082,1513781010.100755,810943596.240129,0.00047,0.000631,138.466997,6966.690015,1629.443027
SSP1,2050,568386281.034761,481515325.930154,960.794605,275384558.512041,86870955.104606,104903231.996913,1883465994.237076,951769029.104521,0.000449,0.000575,183.20968,9217.828611,2152.268299
SSP1,2055,595094397.114245,493129307.079748,999.000824,266052908.568933,101965090.034497,71600191.765691,2163308539.29198,1027080289.552324,0.000436,0.000512,215.187492,10826.728285,2526.23251
SSP1,2060,643775353.161842,520021051.408311,1072.449435,342656328.951777,123754301.753532,105082031.833689,2445704183.166462,1113682244.72441,0.000422,0.000479,261.023637,13132.882271,3066.07036
SSP1,2065,674544832.388953,535156028.122191,1117.967908,338570406.835986,139388804.266762,75471699.133642,2664330146.159804,1162416784.331794,0.000413,0.000439,294.026712,14793.365936,3453.422428
SSP1,2070,705580379.97903,550728380.022124,1163.987955,364747901.80875,154851999.956906,73778840.230314,2848873771.076914,1199745072.036164,0.000405,0.000407,326.519577,16428.179483,3836.53029
SSP1,2075,728131251.70931,560813668.077292,1196.859162,371983971.746934,167317583.632018,59803041.584405,2996337080.588814,1223452422.623069,0.000399,0.000376,352.729558,17746.882262,4145.370921
SSP1,2080,752297252.333548,572263861.120166,1232.391805,395521320.859052,180033391.213383,60323514.287817,3119189341.501912,1242189415.360618,0.000393,0.000352,379.345725,19086.021462,4460.410966
SSP1,2085,765244891.5286,576478858.60273,1249.790523,391562044.567575,188766032.92587,42327464.705933,3214483734.094946,1252490643.72306,0.000389,0.000327,397.402037,19994.488705,4676.766224
SSP1,2090,784849897.322116,585494906.451365,1278.116759,420372464.830086,199354990.870751,51054994.853917,3294643146.408202,1262226149.079721,0.000385,0.00031,419.340256,21098.266283,4939.11258
SSP1,2095,794856634.885036,588237789.010351,1291.356991,415974674.765198,206618845.874684,35127602.776237,3356793078.553878,1267474492.93675,0.000382,0.000291,434.281098,21849.984885,5119.077965
SSP1,2100,797826177.150275,586876153.180899,1293.916917,409568172.380457,210950023.969375,22113012.438832,3404739199.08176,1270063153.948822,0.000379,0.000274,443.483527,22312.986714,5226.384916
SSP2,2025,419581280.713386,419581280.098529,757.085348,1306253.663973,0.614858,1900003.666212,5938164.502301,8637322.624326,0.000616,0.000998,1e-06,6.9e-05,1.5e-05
SSP2,2030,435151465.078668,421687747.034525,774.869411,100543154.979628,13463718.044143,68630203.60802,364059929.714056,253089266.34865,0.000571,0.000927,28.986315,1458.388463,333.569874
SSP2,2035,454374748.580592,426530748.2192,798.490926,131089661.354085,27844000.361393,72212809.236925,729907481.990681,454622165.506793,0.000533,0.00084,59.411287,2989.160068,689.848054
SSP2,2040,478186650.366579,434913919.833776,829.82189,164734935.138899,43272730.532802,76911912.645422,1090130056.711789,622803900.464824,0.000501,0.000754,92.036948,4630.654944,1072.102017
SSP2,2045,521152823.862593,456946159.603778,892.127908,232379053.956729,64206664.258815,103347138.607843,1488269954.636988,799870716.580919,0.000472,0.000701,136.232716,6854.276644,1590.749957
SSP2,2050,570944626.493128,483936600.628949,965.608252,286010149.966491,87008025.864179,113736178.254421,1872219070.464286,952553777.246693,0.000447,0.000661,184.087757,9262.007309,2155.664291
SSP2,2055,618468827.995295,510144048.203258,1036.485686,318919946.121019,108324779.792037,107621411.122205,2207668774.327063,1065753252.316648,0.000429,0.000622,229.045999,11523.99134,2683.79678
SSP2,2060,669501009.740379,538394831.945167,1114.227572,363792852.886396,131106177.795212,110512543.449002,2507483802.527656,1156830691.215726,0.000415,0.00059,277.153856,13944.441958,3248.216507
SSP2,2065,702349157.018863,555619454.501051,1163.085511,358750298.443135,146729702.517812,79490077.932157,2739140580.224928,1208160029.177482,0.000406,0.000546,310.464438,15620.397294,3635.296595
SSP2,2070,738735781.026322,575179167.009792,1217.926493,392456551.414646,163556614.016531,82122278.289769,2937703352.653162,1249709666.192232,0.000399,0.000511,346.123335,17414.503351,4052.191151
SSP2,2075,761929819.865992,586084770.221151,1251.736909,391704286.491935,175845049.644841,60909869.91548,3092984264.797932,1273855789.901526,0.000393,0.000472,372.05569,18719.237949,4356.642856
SSP2,2080,798478076.370692,606378056.873899,1307.556848,440433106.413169,192100019.496793,78300021.719296,3229786505.411198,1298176437.589665,0.000388,0.000446,406.428162,20448.620103,4759.367291
SSP2,2085,807330928.336345,607980136.033067,1318.523678,407701340.897854,199350792.303278,36446013.640492,3329008715.988662,1307046298.140484,0.000384,0.00041,421.471459,21205.493499,4939.008558
SSP2,2090,821947214.398304,613779766.080095,1338.990586,431203365.709767,208167448.318209,43208961.50916,3411233436.384572,1315285669.771641,0.000381,0.000382,439.799685,22127.641534,5157.44531
SSP2,2095,832023494.219537,616937971.893913,1352.462331,434138845.711647,215085522.325624,34396292.604819,3476097240.456324,1320424750.059784,0.000378,0.000356,454.2758,22855.978335,5328.84381
SSP2,2100,844404111.583766,621851206.86383,1369.941146,449949111.297704,222552904.719936,36452849.276183,3528770557.809836,1324692104.856477,0.000376,0.000335,469.93039,23643.6077,5513.85168
SSP3,2025,419581280.713386,419581280.098529,757.085348,1306253.663973,0.614858,1900003.666212,5938164.502301,8637322.624326,0.000616,0.000998,1e-06,6.9e-05,1.5e-05
SSP3,2030,434125611.40144,420846732.331597,773.137862,99323088.459913,13278879.069844,67818545.921711,359714209.950192,250198246.234674,0.00057,0.000932,28.540528,1435.959608,328.990402
SSP3,2035,459529465.69246,429938296.174326,806.523977,145330170.037037,29591169.518133,82146927.251478,765304448.194705,479455473.323106,0.000529,0.00088,63.084512,3173.971057,733.134982
SSP3,2040,487596716.291264,441327985.855122,844.537514,177983228.447189,46268730.436142,83747816.956433,1154496799.861724,662585142.97018,0.000496,0.000834,98.343139,4947.938352,1146.329307
SSP3,2045,512417544.934258,450865097.267213,878.378286,195183422.547781,61552447.667046,74038341.269666,1488908643.81533,789436583.036481,0.000474,0.000794,130.722768,6577.054632,1524.990507
SSP3,2050,562698885.65819,477616969.55068,951.77082,282149265.348893,85081916.10751,113968250.947158,1867674785.418071,942431185.461155,0.000449,0.000801,179.558443,9034.123962,2107.944027
SSP3,2055,591405913.895224,490758755.486022,993.054304,267942427.422523,100647158.409202,75256331.648042,2149504783.900048,1021588085.091243,0.000436,0.000783,212.633435,10698.226013,2493.580141
SSP3,2060,640912193.100022,517841973.206676,1066.959681,345120554.935011,123070219.893345,108195055.903485,2433931286.755938,1110755597.535469,0.000421,0.000799,259.323308,13047.333616,3049.121914
SSP3,2065,667586772.435137,530297963.018313,1106.131162,327730742.847052,137288809.416824,68827876.155384,2645557724.893426,1155200003.78432,0.000412,0.00079,289.554234,14568.342169,3401.39408
SSP3,2070,701732527.986711,547920612.003464,1157.107947,369339244.184376,153811915.983247,79333306.641392,2832424332.234922,1195338564.997866,0.000404,0.000795,324.271204,16315.057097,3810.761726
SSP3,2075,717907830.445992,554034958.218671,1179.631766,353903483.533846,163872872.227321,48692847.869772,2972720105.422684,1214641570.078206,0.000399,0.000783,345.570802,17386.70378,4060.026595
SSP3,2080,745377650.155855,567959617.312345,1220.449954,396548362.967462,177418032.843509,65093575.066535,3095891374.28407,1234860183.958417,0.000393,0.000788,374.005883,18817.357989,4395.614246
SSP3,2085,760711348.445623,573761497.191188,1241.523712,395756020.657287,186949851.254435,48344838.645939,3192206454.171911,1246625859.660874,0.000388,0.000783,393.620881,19804.247388,4631.769479
SSP3,2090,781176588.901145,583313055.788335,1271.108476,424136364.479864,197863533.11281,55713495.481274,3273083591.857724,1257249678.843468,0.000383,0.000786,416.113478,20935.917437,4902.161021
SSP3,2095,792659705.210621,586791223.701288,1286.425543,420502102.300497,205868481.509333,39177813.404458,3335909957.765315,1263103156.452598,0.000379,0.000782,432.53411,21762.088665,5100.487339
SSP3,2100,806393438.635101,591933789.460704,1305.615834,438390838.378483,214459649.174398,41323948.018671,3387230205.2666,1267940746.690324,0.000375,0.000782,450.185578,22650.18699,5313.337512
SSP4,2025,419581280.713386,419581280.098529,757.085348,1306253.663973,0.614858,1900003.666212,5938164.502301,8637322.624326,0.000616,0.000998,1e-06,6.9e-05,1.5e-05
SSP4,2030,435270485.453242,421765318.965245,775.067237,100798211.775516,13505166.487997,68797402.804382,364968409.162417,253684808.346067,0.000571,0.000932,29.072381,1462.718711,334.596778
SSP4,2035,456539493.592156,427980513.469225,801.86076,136005758.270316,28558980.122931,75489352.183778,744535899.418742,464361946.681072,0.000531,0.000849,60.875743,3062.841257,707.56201
SSP4,2040,479144872.024407,435512484.019256,831.329468,163490161.844471,43632388.005151,75182802.071586,1102036553.372501,628762670.268568,0.000501,0.000756,92.748332,4666.446837,1081.012698
SSP4,2045,527080433.466032,460782076.020786,901.158808,244990732.540904,66298357.445246,111369707.266019,1521784304.237422,819574721.216622,0.00047,0.0007,140.33421,7060.635094,1642.572628
SSP4,2050,572497153.287042,484782032.68818,968.131069,279433424.046647,87715120.598862,106677960.752703,1896904614.156054,962782606.370551,0.000447,0.000645,185.428765,9329.477462,2173.182892
SSP4,2055,607559579.279974,502581783.20738,1019.617681,287387607.642698,104977796.072594,85057153.772348,2199187644.898173,1052248308.943816,0.000433,0.000588,222.230916,11181.104052,2600.873702
SSP4,2060,651609835.553351,526394385.801209,1085.235945,340204815.932383,125215449.752142,99273924.088713,2479562907.010858,1134063589.574234,0.000419,0.000549,264.71872,13318.792949,3102.270981
SSP4,2065,706113655.478458,557583974.169394,1168.888776,401069345.235291,148529681.309063,115482962.779525,2738546474.560669,1208634708.128103,0.000407,0.000522,313.838639,15790.163451,3679.891907
SSP4,2070,747041389.731736,579761150.383402,1230.698028,409482089.620801,167280239.348334,91848770.650364,2945723291.157898,1255105448.592804,0.000398,0.00049,353.160035,17768.540865,4144.445699
SSP4,2075,774815587.274583,593634774.083523,1271.875857,409502135.52333,181180813.19106,68652394.26261,3108059694.720852,1282320893.431291,0.000392,0.000454,382.281033,19233.705592,4488.838879
SSP4,2080,802839402.198014,607845610.60301,1313.72286,433644168.898496,194993791.595004,67615870.437884,3242753234.03563,1303322953.544914,0.000387,0.000424,411.241601,20690.798659,4831.06184
SSP4,2085,823343714.882065,617152318.99192,1343.161419,440142225.65207,206191395.890144,54916131.291638,3349870577.583012,1316687883.694809,0.000382,0.000394,434.329932,21852.441861,5108.487693
SSP4,2090,843073760.963901,626173258.000986,1371.497123,456630353.387905,216900502.962915,52167617.833094,3436943884.791096,1326635551.387491,0.000378,0.000369,456.390305,22962.365422,5373.810799
SSP4,2095,865202741.565312,636839319.643072,1403.7621,480962261.171478,228363421.92224,55353661.156465,3508803480.362173,1334905829.588516,0.000375,0.000348,480.023524,24151.423552,5657.809945
SSP4,2100,880568555.95886,643221308.01957,1425.554135,483764792.658639,237347247.93929,43140388.794229,3565435432.305966,1339956061.565102,0.000372,0.000328,498.578171,25084.963531,5880.388412
SSP5,2025,419581280.713386,419581280.098529,757.085348,1306253.663973,0.614858,1900003.666212,5938164.502301,8637322.624326,0.000616,0.000998,1e-06,6.9e-05,1.5e-05
SSP5,2030,436470076.321595,422799514.09504,777.214421,101953680.049681,13670562.226555,69574612.947178,369084038.297728,256453130.747877,0.000571,0.000918,29.547506,1486.623659,338.694535
SSP5,2035,508401992.861844,463751214.128529,885.032854,253361098.64402,44650778.733314,154956720.089462,1076169073.254553,688909330.328847,0.000506,0.000882,94.869946,4773.191606,1106.243801
SSP5,2040,518710333.840534,463309165.872854,895.376515,161966783.886649,55401167.967681,53858835.45137,1430338587.218014,806681364.302179,0.000487,0.000709,117.948706,5934.353268,1372.589693
SSP5,2045,576658112.77807,496003021.144767,982.189321,294307150.763607,80655091.633303,130964753.783929,1934581189.847327,1031066018.665397,0.000455,0.000618,171.45035,8626.181476,1998.267392
SSP5,2050,601616864.046833,506908281.06568,1017.646246,254546402.740505,94708582.981153,71111652.663694,2276292371.358496,1126528561.405373,0.000442,0.000518,201.902426,10158.316764,2346.449174
SSP5,2055,661642016.090798,542291268.936462,1110.370307,363087798.332679,119350747.154336,127652912.143174,2658199166.177365,1260797778.795118,0.000423,0.00047,254.663884,12812.903985,2956.970247
SSP5,2060,705628155.92867,567062657.485663,1177.079526,366417194.488754,138565498.443007,98073720.000292,2960177010.51158,1341623927.231868,0.000412,0.00042,295.918911,14888.568144,3433.024644
SSP5,2065,748846574.884078,592262069.548819,1244.341801,390006053.262072,156584505.33526,89319341.305229,3212016649.316628,1399300341.391262,0.000405,0.000378,335.109422,16860.360348,3879.453917
SSP5,2070,795906715.140294,619869132.22278,1317.03537,431639452.248783,176037582.917514,94776677.784617,3430403948.544994,1447252451.846841,0.000399,0.000345,376.884265,18962.178044,4361.412957
SSP5,2075,849027456.996891,651755257.154072,1399.364376,487109117.420491,197272199.842819,109055822.597166,3623505608.842104,1490484778.353268,0.000391,0.00032,422.146584,21239.461059,4887.510464
SSP5,2080,919514838.096594,694804106.33022,1509.711567,563292153.16103,224710731.766374,132678800.186021,3798468906.446736,1531695933.652525,0.000385,0.000304,479.872813,24143.840859,5567.312849
SSP5,2085,942952414.681249,707946572.459584,1545.96115,492341935.991093,235005842.221665,51015491.528922,3918290085.208236,1544111565.722923,0.000383,0.000277,503.183935,25316.69332,5822.378996
SSP5,2090,965179597.603857,720618864.730271,1580.990689,502688745.510516,244560732.873586,44851283.594934,4014146112.393314,1552664106.23225,0.000383,0.000254,525.059634,26417.32539,6059.105854
SSP5,2095,980078197.293359,728513955.49489,1603.735116,512716307.885428,251564241.798468,41431143.886075,4090750015.655086,1558854249.376639,0.00038,0.000232,540.804403,27209.491931,6232.621044
SSP5,2100,992000683.838964,734198829.467855,1621.479573,515342584.961019,257801854.371108,33187495.590473,4151078623.583974,1562739345.365302,0.000378,0.000213,554.755327,27911.404787,6387.160795
