ssp,year,aal_baseline_usd,aal_intervention_usd,aal_fatalities_baseline,benefits_usd_yr,benefits_direct_usd_yr,costs_usd_yr,cum_disc_benefits,cum_disc_costs,aal_ratio_baseline,aal_pct_gdp_baseline,lives_saved_yr,dalys_averted_yr,jobs_preserved_yr
SSP1,2025,97387251.574658,97387251.513064,229.605806,1306253.910534,0.061594,1900003.432902,5938165.623156,8637321.563711,0.000127,0.000606,0.0,0.0,2e-06
SSP1,2030,114346875.682014,112220963.146051,271.176209,150449191.370455,2125912.535963,95720962.270435,541818803.138311,349583057.581261,0.000126,0.000623,0.342354,16.39635,68.152413
SSP1,2035,128653156.172096,124702265.00738,306.193534,176056025.020916,3950891.164716,83357414.057825,1033159349.388394,582218534.568206,0.000125,0.000599,0.638455,30.577538,126.657499
SSP1,2040,146348684.908098,140290376.038931,349.287098,231433246.731316,6058308.869167,93560487.575572,1539229782.738356,786805374.015577,0.000125,0.000573,0.978182,46.848055,194.217006
SSP1,2045,174533116.960593,165414606.915443,416.885511,334724476.430789,9118510.04515,130930797.731388,2112720235.55703,1011131850.763118,0.000125,0.000568,1.461875,70.0136,292.320803
SSP1,2050,189059841.532777,178204684.771882,452.28199,319638352.715423,10855156.760895,82157454.172957,2541812919.589255,1121422628.527559,0.000125,0.000511,1.744473,83.548047,347.994149
SSP1,2055,207120752.290462,194246716.998352,495.744267,373907283.877114,12874035.29211,92060838.120921,2935099978.533878,1218255019.416348,0.000124,0.000467,2.071291,99.200357,412.71527
SSP1,2060,229740254.282794,214463507.470277,550.156283,439368641.826556,15276746.812517,105997872.368229,3297199785.31821,1305611752.351416,0.000125,0.000431,2.460034,117.818405,489.741293
SSP1,2065,247818458.016917,230532339.188274,592.657117,469227389.309596,17286118.828643,93234614.295149,3600195226.678085,1365816386.079088,0.000124,0.000389,2.774911,132.898832,554.157655
SSP1,2070,281232234.447701,260556432.492314,672.514827,612621582.135299,20675801.955388,156265299.777352,3910150148.718958,1444878567.730217,0.000123,0.000374,3.310383,158.544175,662.823971
SSP1,2075,292167564.90228,270184136.714636,697.827172,534537484.136769,21983428.187644,59861461.408149,4122053543.638882,1468609077.3272,0.000123,0.000332,3.51441,168.315628,704.743797
SSP1,2080,305603969.749944,282106460.314177,729.03347,581676787.68363,23497509.435766,72053487.003981,4302727263.913668,1490989498.604834,0.000123,0.0003,3.750531,179.624174,753.282148
SSP1,2085,316599623.766738,291823019.795174,754.583816,599018913.24422,24776603.971564,61678377.761144,4448510401.685326,1506000155.603938,0.000122,0.000271,3.948998,189.129345,794.287306
SSP1,2090,328328811.666877,302222150.033079,781.87192,633340323.216628,26106661.633798,65223366.742494,4569279939.06179,1518437380.171641,0.000122,0.000247,4.155322,199.010859,836.926237
SSP1,2095,338526964.150645,311267423.49025,806.095677,649005388.09027,27259540.660395,55855483.044458,4666246517.266954,1526782634.562756,0.000122,0.000225,4.339319,207.822993,873.885184
SSP1,2100,347489480.474118,319201047.764816,827.188353,665963377.304266,28288432.709302,50145807.552809,4744207556.499577,1532652956.269936,0.000121,0.000206,4.502291,215.628221,906.869361
SSP2,2025,97387251.574658,97387251.513064,229.605806,1306253.910534,0.061594,1900003.432902,5938165.623156,8637321.563711,0.000127,0.000606,0.0,0.0,2e-06
SSP2,2030,118780421.4416,116242027.398282,281.862113,175629490.932698,2538394.043319,111628201.328708,631507786.238338,406242593.800789,0.000126,0.000651,0.407759,19.528811,81.375727
SSP2,2035,134939400.570948,130397078.63532,321.2623,196169805.706461,4542321.935628,91228170.464792,1178982259.106472,660843929.394056,0.000125,0.000642,0.731103,35.014696,145.617562
SSP2,2040,152656420.712033,146014539.071869,364.483322,243262696.698537,6641881.640164,93806287.954913,1710919913.159401,865968255.595156,0.000125,0.00063,1.071814,51.332384,212.925156
SSP2,2045,175102305.317766,165974766.611218,419.027724,309380083.361915,9127538.706548,107596524.120374,2240987286.756415,1050315632.869395,0.000126,0.000626,1.476418,70.710098,292.610244
SSP2,2050,198726984.404424,187030193.625011,476.067438,365672334.632008,11696790.779413,110975367.968707,2731877451.25202,1199292494.058363,0.000126,0.000612,1.891406,90.585116,374.975216
SSP2,2055,225585777.872057,211026782.264245,540.512545,440837261.58728,14558995.607813,125300163.170676,3195563497.389178,1331087018.486168,0.000126,0.000595,2.347872,112.44665,466.731656
SSP2,2060,249611599.610634,232504318.918714,598.348586,478661550.736694,17107280.69192,111637301.062768,3590046031.045429,1423091411.372974,0.000126,0.000561,2.759642,132.167538,548.42447
SSP2,2065,272223210.366504,252723885.925366,652.312791,518911914.575224,19499324.441137,103640140.782016,3925124392.12524,1490015233.200705,0.000126,0.000522,3.145106,150.628567,625.108505
SSP2,2070,301223161.88644,278751051.446386,721.721667,608008035.198514,22472110.440054,128993415.696009,4232745097.379072,1555279248.168124,0.000126,0.000496,3.62047,173.395189,720.409951
SSP2,2075,327201724.875146,302049146.023474,783.894734,652151970.996118,25152578.851672,118222795.001827,4491273677.24278,1602145580.953496,0.000126,0.000466,4.048044,193.872994,806.340293
SSP2,2080,352137792.777124,324423022.430363,843.111458,699238604.418975,27714770.346761,112577774.16698,4708463090.152338,1637113187.895491,0.000126,0.000435,4.455524,213.388391,888.478917
SSP2,2085,368630182.537857,339150269.137319,882.18199,698360942.932569,29479913.400538,78290681.093388,4878423081.910356,1656166778.517964,0.000126,0.000397,4.737197,226.878565,945.065798
SSP2,2090,389289708.783905,357673479.747438,931.253062,762205466.374263,31616229.036467,95401697.681194,5023765480.278928,1674358607.573425,0.000126,0.000367,5.07671,243.138888,1013.551713
SSP2,2095,402654287.071883,369584630.362672,962.998844,761122164.82388,33069656.709211,66224185.64909,5137483198.611359,1684253028.782641,0.000126,0.000334,5.307829,254.207842,1060.145635
SSP2,2100,416864605.082343,382281880.959296,996.713913,796448220.190075,34582724.123047,68957314.362563,5230719453.121825,1692325520.564632,0.000126,0.000306,5.548544,265.736431,1108.651485
SSP3,2025,97387251.574658,97387251.513064,229.605806,1306253.910534,0.061594,1900003.432902,5938165.623156,8637321.563711,0.000127,0.000606,0.0,0.0,2e-06
SSP3,2030,112383157.262866,110444879.967688,266.408832,140106916.69239,1938277.295178,89200235.727444,504980953.114968,326357069.690667,0.000125,0.000622,0.31317,14.998637,62.13721
SSP3,2035,130857998.801588,126677395.410821,311.285669,199408331.145483,4180603.390767,100124166.461292,1061493565.166723,605785522.287396,0.000125,0.000643,0.670108,32.093459,134.021604
SSP3,2040,145586784.086965,139576126.806936,347.238646,220521413.401819,6010657.280029,83578838.589638,1543703311.689298,788545690.332954,0.000124,0.00065,0.966432,46.285335,192.689393
SSP3,2045,166082691.793692,157729629.579432,396.643917,293148171.351689,8353062.21426,104647800.39286,2045960210.629309,967840957.514256,0.000124,0.000686,1.33974,64.164164,267.78211
SSP3,2050,188039995.180868,177270933.29458,449.820671,343402417.644321,10769061.886288,105112721.60014,2506954530.736274,1108947615.880411,0.000124,0.000722,1.730644,82.885717,345.234123
SSP3,2055,209120035.450885,196033731.048367,500.422655,389291746.69692,13086304.402518,102703438.936243,2916423435.814264,1216974218.154382,0.000124,0.000749,2.102142,100.677895,419.520185
SSP3,2060,241433511.856483,225021007.36804,577.904422,499254874.131959,16412504.488444,141504825.61228,3327877682.316186,1333593533.088296,0.000125,0.000809,2.63216,126.062052,526.151364
SSP3,2065,255412495.435701,237358966.590837,610.670179,463639253.85698,18053528.844864,76500923.014157,3627264682.211602,1382992676.150293,0.000125,0.000804,2.889446,138.384247,578.759252
SSP3,2070,274769385.533286,254582738.818129,655.857785,534280911.960997,20186646.715156,98509939.474489,3897583265.8919,1432833624.462367,0.000124,0.00082,3.219098,154.172278,647.142653
SSP3,2075,293708453.672975,271468297.592598,700.20089,570345722.94045,22240156.080377,91897243.016998,4123681899.862004,1469263881.19269,0.000124,0.000833,3.539918,169.537275,712.973968
SSP3,2080,314020555.191792,289629108.55554,747.833477,619542454.674973,24391446.636252,95596626.05541,4316117015.934026,1498957000.190834,0.000124,0.000848,3.877284,185.694752,781.939949
SSP3,2085,330783887.361183,304585310.855013,786.985895,641160994.795472,26198576.50617,80716439.893403,4472156265.399216,1518600947.347174,0.000124,0.000853,4.160135,199.24135,839.87284
SSP3,2090,347896120.07189,319878534.507664,826.944945,679762604.84853,28017585.564226,81103597.685958,4601777911.620054,1534066319.774992,0.000124,0.000857,4.445263,212.896971,898.186555
