ssp,year,aal_baseline_usd,aal_intervention_usd,aal_fatalities_baseline,benefits_usd_yr,benefits_direct_usd_yr,costs_usd_yr,cum_disc_benefits,cum_disc_costs,aal_ratio_baseline,aal_pct_gdp_baseline,lives_saved_yr,dalys_averted_yr,jobs_preserved_yr
SSP1,2025,946974.061048,946974.061048,1.252279,1306250.0,0.0,1900000.0,5938147.846062,8637305.957908,3e-05,8.4e-05,0.0,0.0,0.0
SSP1,2030,1083089.589035,1052574.442152,1.437607,4937196.101154,30515.146883,3118090.639221,23523804.306713,19743543.115818,3e-05,8.5e-05,0.047016,1.878799,6.614973
SSP1,2035,1252603.216942,1185655.639689,1.655568,7288104.552253,66947.577253,3534483.972045,43863586.892435,29607649.074876,2.9e-05,8.3e-05,0.100996,4.035886,14.512674
SSP1,2040,1442411.912434,1336313.793823,1.897052,9523668.891878,106098.118612,3703443.337894,64688802.419009,37705894.255141,2.9e-05,7.5e-05,0.158418,6.330528,22.999599
SSP1,2045,1603314.055887,1464784.291582,2.110426,10566358.179506,138529.764305,3206190.552177,82792365.091284,43199127.648759,2.9e-05,6.3e-05,0.207888,8.307429,30.030024
SSP1,2050,1843599.463478,1661102.183603,2.425042,13413226.598586,182497.279876,3825115.48226,100798706.80161,48334084.249157,2.9e-05,5.5e-05,0.273988,10.948853,39.561157
SSP1,2055,2015208.900058,1798529.522306,2.645393,14689995.153826,216679.377751,3388280.895836,116250090.711686,51897981.198647,2.9e-05,4.7e-05,0.324613,12.971864,46.971039
SSP1,2060,2192477.031091,1941129.549875,2.872371,16510079.825563,251347.481216,3419250.053966,129856652.823122,54715910.531841,2.9e-05,4e-05,0.375845,15.019125,54.486276
SSP1,2065,2370776.696455,2086241.033682,3.112137,18066262.616557,284535.662774,3305728.514262,141522628.296722,56850527.336006,2.9e-05,3.4e-05,0.426745,17.053162,61.6807
SSP1,2070,2565968.485124,2246579.842943,3.377591,19890891.937683,319388.642182,3376204.25492,151586393.66127,58558712.547144,2.9e-05,2.9e-05,0.480707,19.20954,69.236014
SSP1,2075,2762910.629994,2407384.533817,3.635117,21951655.47924,355526.096177,3531562.755947,160288552.926444,59958708.168717,2.9e-05,2.6e-05,0.534741,21.368795,77.069772
SSP1,2080,2970607.362639,2577530.225637,3.905869,24015312.628261,393077.137002,3617226.45862,167747911.745606,61082249.240311,2.9e-05,2.3e-05,0.59073,23.606169,85.209962
SSP1,2085,3181973.653308,2752125.084046,4.188749,25773936.618401,429848.569262,3512763.51064,174020510.606648,61937149.937949,2.9e-05,2e-05,0.646983,25.85407,93.181152
SSP1,2090,3405764.162612,2937877.365726,4.490284,27751280.407101,467886.796886,3563683.758102,179312308.986623,62616696.81511,2.9e-05,1.8e-05,0.705561,28.19491,101.426953
SSP1,2095,3599645.249092,3097409.356245,4.743842,29389843.319818,502235.892846,3425123.816818,183703385.845159,63128437.615018,2.9e-05,1.6e-05,0.757069,30.253221,108.873036
SSP1,2100,3799706.552503,3262423.100866,5.005186,31258096.829492,537283.451637,3463172.705607,187362616.662213,63533854.117445,2.9e-05,1.5e-05,0.809573,32.351353,116.47053
SSP2,2025,946974.061048,946974.061048,1.252279,1306250.0,0.0,1900000.0,5938147.846062,8637305.957908,3e-05,8.4e-05,0.0,0.0,0.0
SSP2,2030,1093666.15119,1061599.88958,1.452283,5105166.200894,32066.261609,3200777.134421,24122092.162648,20038061.75934,3e-05,8.7e-05,0.049469,1.976826,6.951218
SSP2,2035,1286882.612269,1216129.676127,1.710723,7438707.852943,70752.936141,3569776.747791,44882181.341224,30000663.476845,3e-05,8.8e-05,0.10844,4.333357,15.337588
SSP2,2040,1498129.916602,1386256.2106,1.988584,9655434.174481,111873.706002,3712223.422034,65995525.365363,38118107.890792,3e-05,8.4e-05,0.170339,6.806921,24.251612
SSP2,2045,1711975.848593,1559473.503958,2.271311,11646501.37996,152502.344634,3678186.998457,85949719.995428,44420022.676916,3e-05,7.7e-05,0.231695,9.25875,33.058954
SSP2,2050,1938556.903031,1743949.870699,2.569207,13837870.682774,194607.032332,3758375.468232,104526117.421205,49465385.361225,3e-05,7e-05,0.295039,11.790067,42.186269
SSP2,2055,2184188.096191,1945247.581399,2.893944,16182224.560493,238940.514792,3877105.893852,121547073.628812,53543443.318264,3e-05,6.4e-05,0.362017,14.466543,51.796735
SSP2,2060,2432088.527716,2149312.608881,3.226332,18320809.392506,282775.918834,3839988.112691,136645924.365133,56708118.311635,3e-05,5.7e-05,0.429071,17.146087,61.299229
SSP2,2065,2682692.973385,2356190.646735,3.563045,20492409.482617,326502.32665,3836163.186389,149878542.06217,59185254.097546,3e-05,5.2e-05,0.496078,19.823766,70.778095
SSP2,2070,2942768.039208,2571620.095688,3.91302,22759622.312819,371147.94352,3881114.714707,161393737.029773,61148897.958468,3e-05,4.6e-05,0.564618,22.562682,80.456224
SSP2,2075,3208397.417435,2792265.873933,4.271628,25010822.398444,416131.543503,3897555.895354,171308622.951251,62693981.980872,3e-05,4.2e-05,0.633893,25.330994,90.20762
SSP2,2080,3477909.918716,3016593.533798,4.635484,27265229.411502,461316.384919,3908034.665763,179777433.356318,63907850.53636,3e-05,3.7e-05,0.703493,28.112303,100.002641
SSP2,2085,3749947.130305,3243497.674002,5.003729,29497938.944923,506449.456302,3903002.917536,186956342.072068,64857723.736471,3e-05,3.4e-05,0.773203,30.897981,109.786439
