ssp,year,aal_baseline_usd,aal_intervention_usd,aal_fatalities_baseline,benefits_usd_yr,benefits_direct_usd_yr,costs_usd_yr,cum_disc_benefits,cum_disc_costs,aal_ratio_baseline,aal_pct_gdp_baseline,lives_saved_yr,dalys_averted_yr,jobs_preserved_yr
SSP1,2025,688042893.890345,688042893.755934,1135.752593,1306257.044643,0.134412,1900005.590721,5938179.870661,8637331.37305,0.002433,0.015891,0.0,1e-06,1.9e-05
SSP1,2030,794190106.308151,787949908.372912,1401.08111,579894954.024489,6240197.935239,346526548.892453,2071449299.09819,1242920256.02612,0.002161,0.014747,0.989811,42.597524,891.456848
SSP1,2035,815191504.13851,806229260.481792,1472.390447,386900981.786051,8962243.656719,112318858.236837,3151220012.499604,1556381889.354015,0.002124,0.011825,1.452189,62.496426,1280.320522
SSP1,2040,890960096.173683,876996428.639991,1660.545887,685097818.818275,13963667.533692,251844768.224238,4649309655.855774,2107085786.880571,0.002015,0.009939,2.259811,97.253207,1994.809648
SSP1,2045,925107830.785043,908131176.83039,1752.267493,687796455.138102,16976653.954653,167414975.490573,5827725721.242583,2393921369.16751,0.001939,0.007946,2.742268,118.016242,2425.236279
SSP1,2050,1069640849.249244,1045066136.001751,2079.21824,1275300234.886307,24574713.247493,461433376.606891,7539729290.54357,3013364200.067662,0.001783,0.007228,3.905206,168.064441,3510.673321
SSP1,2055,1103589580.238129,1076158180.958812,2168.005587,1022643750.85412,27431399.279317,152536912.662164,8615377106.095879,3173807166.407712,0.001746,0.005989,4.359709,187.624456,3918.771326
SSP1,2060,1147044422.161806,1116425725.312791,2273.914366,1155242123.189625,30618696.849015,179776143.796729,9567454495.727196,3321967277.840802,0.001705,0.005071,4.85991,209.15107,4374.09955
SSP1,2065,1209901406.374718,1175355405.66189,2414.14641,1373184804.60611,34546000.712828,248921079.624567,10454164746.278618,3482703744.004031,0.001646,0.004412,5.45902,234.934388,4935.142959
SSP1,2070,1263801040.095075,1225722478.861365,2534.565913,1453130632.663751,38078561.23371,211777992.054082,11189373895.118275,3589852484.647972,0.001606,0.003852,6.007934,258.557465,5439.794462
SSP1,2075,1292171976.092798,1251620614.648647,2599.335724,1432938079.065446,40551361.44415,127334343.667196,11757424691.694986,3640330852.421476,0.001587,0.003331,6.409392,275.834589,5793.051635
SSP2,2025,688042893.890345,688042893.755934,1135.752593,1306257.044643,0.134412,1900005.590721,5938179.870661,8637331.37305,0.002433,0.015891,0.0,1e-06,1.9e-05
SSP2,2030,787125891.932736,781243207.1098,1385.496298,568121109.585012,5882684.822935,339658259.859434,2029512382.011708,1218456295.322006,0.002152,0.014769,0.921307,39.649373,840.383546
SSP2,2035,843925036.942515,833838696.062139,1528.908034,581770046.695984,10086340.880376,231564406.212551,3653127435.808258,1864710701.139892,0.002021,0.012809,1.580491,68.01801,1440.90584
SSP2,2040,864220021.684742,851578129.996162,1592.22598,538597382.094571,12641891.68858,126544073.126802,4830867515.971392,2141422084.7878,0.001967,0.010681,1.994497,85.835154,1805.984527
SSP2,2045,966749758.477244,948247623.909626,1830.720215,1005740422.93491,18502134.567618,362759696.756592,6554023637.439697,2762945867.49904,0.001817,0.009777,2.883213,124.081934,2643.162081
SSP2,2050,1032188387.24467,1009376945.570188,1986.517885,1012580467.043369,22811441.674482,242728991.494114,7913343840.134754,3088792980.549873,0.00175,0.008586,3.554746,152.982033,3258.777382
SSP2,2055,1117484125.110196,1089579105.514598,2179.94388,1248081134.672375,27905019.595598,300560194.64411,9226113555.904419,3404931339.133587,0.001679,0.007681,4.339557,186.757166,3986.431371
SSP2,2060,1177762217.13745,1145986516.98927,2324.548066,1289628285.474988,31775700.14818,222664488.674781,10288943509.022568,3588437308.043172,0.001637,0.00671,4.939556,212.578744,4539.385735
SSP2,2065,1232838467.435038,1197335836.308435,2451.225844,1382078907.717354,35502631.126603,201753223.205024,11181396972.265936,3718715949.707138,0.001607,0.00584,5.530494,238.010326,5071.804447
SSP2,2070,1286040536.654207,1246903773.158349,2571.723874,1474868929.647122,39136763.495858,188127353.693581,11927604578.13562,3813898687.221226,0.001585,0.005096,6.114835,263.158038,5590.966214
SSP2,2075,1350068763.145578,1306936989.63298,2710.550778,1659296817.243732,43131773.512598,234179934.183025,12585389371.884169,3906733192.84181,0.001551,0.004504,6.739227,290.029383,6161.68193
SSP3,2025,688042893.890345,688042893.755934,1135.752593,1306257.044643,0.134412,1900005.590721,5938179.870661,8637331.37305,0.002433,0.015891,0.0,1e-06,1.9e-05
